business_scale,risk_exposure,data_type,potential_loss,annual_revenue,compliance_requirements,premium
Medium,Medium,Sensitive,4529245,3715319,no,14216
Large,Low,Sensitive,2070251,17162786,yes,10791
Small,Medium,Sensitive,3265586,19003809,yes,13349
Medium,High,Sensitive,2560188,7448995,no,5693
Large,High,Non-sensitive,2008102,3708220,yes,10437
Medium,High,Sensitive,2399673,13329445,no,7925
Medium,Medium,Non-sensitive,3385298,5649505,yes,9965
Medium,Low,Sensitive,2299210,18444421,yes,12073
Large,High,Sensitive,1506236,10768773,yes,10311
Medium,Medium,Non-sensitive,3627478,9185987,yes,5074
Medium,Low,Sensitive,3895371,19735681,no,12218
Medium,Low,Sensitive,2794924,2220155,yes,9776
Large,Medium,Non-sensitive,3169913,16654238,no,7550
Large,Medium,Sensitive,2536796,10995509,yes,12724
Small,High,Non-sensitive,1360876,15505305,yes,7152
Large,Low,Sensitive,2222372,4589052,no,9740
Medium,High,Sensitive,4017644,10917812,no,10612
Large,High,Non-sensitive,4031576,15414560,yes,7250
Small,Low,Sensitive,3154987,8303676,no,10495
Large,Medium,Sensitive,2454082,11034106,no,12247
Medium,Medium,Non-sensitive,410266,13843413,yes,9177
Large,High,Sensitive,1144864,16823894,no,14130
Medium,High,Sensitive,539009,14236888,no,11006
Small,Medium,Sensitive,190713,11090024,yes,9324
Large,High,Sensitive,1470732,14019830,yes,10125
Small,Low,Non-sensitive,3710283,6335414,no,7655
Small,Medium,Non-sensitive,1387854,15503955,yes,10449
Large,Low,Non-sensitive,3433646,8109643,yes,3452
Medium,Low,Non-sensitive,4631668,2601745,no,9181
Medium,Medium,Sensitive,4517694,3809373,yes,5254
Small,Low,Sensitive,3561709,8093680,yes,8005
Small,Low,Non-sensitive,3839868,8454769,no,11636
Large,Medium,Sensitive,2297923,1954770,yes,5867
Small,Low,Sensitive,3709619,13159680,no,13570
Medium,Medium,Sensitive,1279122,17325324,no,5936
Small,High,Non-sensitive,1290804,13179338,yes,14640
Medium,Medium,Sensitive,2999247,12009147,no,8188
Small,High,Sensitive,3994332,18715255,no,3516
Large,Medium,Non-sensitive,1213068,19465382,no,7681
Large,High,Non-sensitive,2685605,17637595,no,5027
Large,High,Non-sensitive,2651477,7935323,no,14860
Small,High,Sensitive,331029,1624490,yes,7513
Large,High,Sensitive,3828588,14857998,no,8547
Small,Medium,Sensitive,3349169,5050546,yes,3967
Large,Medium,Sensitive,2919423,1028994,no,13681
Medium,High,Non-sensitive,3418566,1140174,no,13670
Small,Low,Sensitive,4350320,3538770,no,12770
Small,Medium,Sensitive,2147091,10599809,yes,6664
Medium,Medium,Non-sensitive,2372273,7711778,yes,4723
